"MacroTrends Data Download"
"MSFT - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1986-03-13,0.0538,0.0618,0.0538,0.0591,2178309
1986-03-14,0.0592,0.0623,0.0592,0.0613,651351
1986-03-17,0.0613,0.0628,0.0613,0.0623,281323
1986-03-18,0.0623,0.0628,0.0602,0.0607,143113
1986-03-19,0.0607,0.0613,0.0592,0.0597,101204
1986-03-20,0.0597,0.0597,0.0576,0.0581,123440
1986-03-21,0.0581,0.0591,0.0554,0.0565,126684
1986-03-24,0.0565,0.0565,0.0544,0.0549,137828
1986-03-25,0.055,0.056,0.0544,0.056,67809
1986-03-26,0.0559,0.058,0.0554,0.0575,48018
1986-03-27,0.0575,0.0586,0.0575,0.0586,35561
1986-03-31,0.0586,0.0586,0.0571,0.0581,27194
1986-04-01,0.058,0.058,0.0575,0.0575,23401
1986-04-02,0.0576,0.0591,0.0576,0.0581,57066
1986-04-03,0.0586,0.0602,0.0586,0.0586,48631
1986-04-04,0.0586,0.0591,0.0586,0.0586,56108
1986-04-07,0.0586,0.0591,0.0565,0.0575,34950
1986-04-08,0.0576,0.0591,0.0576,0.0581,21658
1986-04-09,0.0581,0.0596,0.0581,0.0591,25659
1986-04-10,0.0592,0.0602,0.0581,0.0597,29333
1986-04-11,0.0602,0.0618,0.0602,0.0607,36371
1986-04-14,0.0608,0.0618,0.0608,0.0613,25689
1986-04-15,0.0613,0.0613,0.0592,0.0613,19662
1986-04-16,0.0613,0.0639,0.0607,0.0634,67416
1986-04-17,0.0634,0.0639,0.0634,0.0639,46495
1986-04-18,0.0639,0.0639,0.0613,0.0618,45681
1986-04-21,0.0618,0.0623,0.0602,0.0618,48418
1986-04-22,0.0618,0.0618,0.0607,0.0607,32844
1986-04-23,0.0607,0.0612,0.0602,0.061,32963
1986-04-24,0.061,0.0681,0.0607,0.067,131629
1986-04-25,0.0676,0.0742,0.0676,0.0713,181231
1986-04-28,0.0713,0.0723,0.0707,0.0718,60978
1986-04-29,0.0718,0.0718,0.0692,0.0697,64044
1986-04-30,0.0697,0.0702,0.0665,0.0681,65242
1986-05-01,0.0681,0.0681,0.066,0.067,114727
1986-05-02,0.067,0.0681,0.0665,0.067,42741
1986-05-05,0.067,0.067,0.0665,0.0665,6869
1986-05-06,0.067,0.0681,0.067,0.067,20550
1986-05-07,0.067,0.0675,0.066,0.067,10883
1986-05-08,0.0671,0.0676,0.0666,0.0676,7484
1986-05-09,0.0675,0.0675,0.067,0.067,12828
1986-05-12,0.0671,0.0692,0.0671,0.0676,22148
1986-05-13,0.0676,0.0686,0.0676,0.0681,8087
1986-05-14,0.0681,0.0681,0.0676,0.0676,19653
1986-05-15,0.0676,0.0686,0.0676,0.0676,8032
1986-05-16,0.0676,0.0697,0.0676,0.0681,25233
1986-05-19,0.0681,0.0681,0.0665,0.067,23225
1986-05-20,0.067,0.067,0.066,0.0665,130812
1986-05-21,0.0666,0.0671,0.0655,0.0655,17105
