"MacroTrends Data Download"
"AAPL - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1980-12-12,0.0982,0.0987,0.0982,0.0982,1602658
1980-12-15,0.0935,0.0935,0.0931,0.0931,600675
1980-12-16,0.0867,0.0867,0.0862,0.0862,361015
1980-12-17,0.0884,0.0889,0.0884,0.0884,295355
1980-12-18,0.091,0.0914,0.091,0.091,250958
1980-12-19,0.0965,0.097,0.0965,0.0965,166139
1980-12-22,0.1012,0.1016,0.1012,0.1012,127590
1980-12-23,0.1055,0.106,0.1055,0.1055,160470
1980-12-24,0.111,0.1114,0.111,0.111,163937
1980-12-26,0.1213,0.1217,0.1213,0.1213,189871
1980-12-29,0.123,0.1235,0.123,0.123,318330
1980-12-30,0.1205,0.1205,0.12,0.12,235332
1980-12-31,0.1171,0.1171,0.1166,0.1166,122189
1981-01-02,0.1179,0.1187,0.1179,0.1179,74032
1981-01-05,0.1157,0.1157,0.1153,0.1153,122033
1981-01-06,0.1106,0.1106,0.1102,0.1102,154280
1981-01-07,0.106,0.106,0.1055,0.1055,190329
1981-01-08,0.1038,0.1038,0.1033,0.1033,136050
1981-01-09,0.1089,0.1094,0.1089,0.1089,73467
1981-01-12,0.1089,0.1089,0.1081,0.1081,80998
1981-01-13,0.1046,0.1046,0.1042,0.1042,78724
1981-01-14,0.1046,0.1051,0.1046,0.1046,48818
1981-01-15,0.1068,0.1076,0.1068,0.1068,48079
1981-01-16,0.1064,0.1064,0.1059,0.1059,45757
1981-01-19,0.1123,0.1127,0.1123,0.1123,141981
1981-01-20,0.1094,0.1094,0.1089,0.1089,102778
1981-01-21,0.111,0.1118,0.111,0.111,54314
1981-01-22,0.1123,0.1131,0.1123,0.1123,121403
1981-01-23,0.1124,0.1127,0.1119,0.1119,38346
1981-01-26,0.1106,0.1106,0.1102,0.1102,84181
1981-01-27,0.1102,0.1102,0.1094,0.1094,80997
1981-01-28,0.1064,0.1064,0.1059,0.1059,96182
1981-01-29,0.1025,0.1025,0.1021,0.1021,150012
1981-01-30,0.0973,0.0973,0.0965,0.0965,157798
1981-02-02,0.0914,0.0914,0.091,0.091,81204
1981-02-03,0.0944,0.0949,0.0944,0.0944,65460
1981-02-04,0.0978,0.0982,0.0978,0.0978,95198
1981-02-05,0.0978,0.0986,0.0978,0.0978,27090
1981-02-06,0.0982,0.0987,0.0982,0.0982,47378
1981-02-09,0.0939,0.0939,0.0931,0.0931,57222
1981-02-10,0.0931,0.0935,0.0931,0.0931,62653
1981-02-11,0.0906,0.0906,0.0901,0.0901,47308
1981-02-12,0.0897,0.0897,0.0892,0.0892,49726
1981-02-13,0.088,0.088,0.0871,0.0871,38116
1981-02-17,0.0892,0.0897,0.0892,0.0892,41922
1981-02-18,0.0931,0.0939,0.0931,0.0931,65713
1981-02-19,0.088,0.088,0.0875,0.0875,76180
1981-02-20,0.0833,0.0833,0.0829,0.0829,83283
1981-02-23,0.0841,0.0846,0.0841,0.0841,48210
1981-02-24,0.0819,0.0819,0.0811,0.0811,57994
1981-02-25,0.0862,0.0867,0.0862,0.0862,66543
1981-02-26,0.0875,0.088,0.0875,0.0875,37019
1981-02-27,0.0905,0.0913,0.0905,0.0905,50414
1981-03-02,0.091,0.0914,0.091,0.091,40181
1981-03-03,0.0901,0.0901,0.0897,0.0897,55259
1981-03-04,0.0892,0.0892,0.0888,0.0888,46809
1981-03-05,0.0889,0.0889,0.0884,0.0884,18369
1981-03-06,0.0883,0.0883,0.0875,0.0875,39620
1981-03-09,0.0811,0.0811,0.0807,0.0807,52321
1981-03-10,0.0773,0.0773,0.0768,0.0768,96918
1981-03-11,0.0747,0.0747,0.0738,0.0738,101943
1981-03-12,0.0768,0.0773,0.0768,0.0768,202327
1981-03-13,0.0765,0.0765,0.076,0.076,790308
1981-03-16,0.079,0.0799,0.079,0.079,127227
1981-03-17,0.0829,0.0837,0.0829,0.0829,149496
1981-03-18,0.088,0.0888,0.088,0.088,126184
1981-03-19,0.0876,0.0876,0.0871,0.0871,129196
1981-03-20,0.088,0.0888,0.088,0.088,49892
1981-03-23,0.0914,0.0922,0.0914,0.0914,75248
1981-03-24,0.0914,0.0914,0.091,0.091,96204
1981-03-25,0.09,0.09,0.0892,0.0892,24098
1981-03-26,0.088,0.088,0.0875,0.0875,41914
1981-03-27,0.085,0.085,0.0846,0.0846,41879
1981-03-30,0.0846,0.0854,0.0846,0.0846,33840
1981-03-31,0.0845,0.0845,0.0837,0.0837,54627
1981-04-01,0.0833,0.0833,0.0829,0.0829,116427
1981-04-02,0.0901,0.0906,0.0901,0.0901,107324
1981-04-03,0.0905,0.091,0.0905,0.0905,56304
1981-04-06,0.0892,0.0892,0.0888,0.0888,77863
1981-04-07,0.0884,0.0884,0.088,0.088,36501
1981-04-08,0.0922,0.0931,0.0922,0.0922,74984
1981-04-09,0.094,0.0944,0.094,0.094,42713
1981-04-10,0.0952,0.0957,0.0952,0.0952,114332
1981-04-13,0.0952,0.0957,0.0952,0.0952,54870
1981-04-14,0.0952,0.0957,0.0952,0.0952,22729
1981-04-15,0.091,0.091,0.0905,0.0905,116281
